,Unnamed: 0,id,day,activity,screen,valence,arousal,office,game,call,sms,social,entertainment,communication,weather,mood
98,101,03,19,0.092122,0.1632702241957635,1.0,0.6,0.009173,0.0,0.0,0.0,0.0,0.554969,0.430657,0.0,7.4
99,102,03,20,0.108066,0.6460274197972702,1.0,0.4,0.000743,0.0,0.0,0.4,0.001884,0.395586,0.253479,0.0,7.6
100,103,03,21,0.120188,0.4587674386858277,1.0,0.2,0.001838,0.0,0.0,0.0,0.0,0.627716,0.340876,0.0,7.666667
101,104,03,22,0.127037,0.2294626517436016,1.0,0.333333,0.0,0.0,0.6,0.0,0.0,4.835783,0.092124,0.0,7.4
102,105,03,23,0.078138,0.7136186314632558,1.0,0.2,0.083038,0.0,0.1,0.2,0.0,0.415081,0.308421,0.0,7.0
103,106,03,24,0.092896,0.3894105334084458,0.8,0.0,0.001908,0.0,0.0,0.2,0.009778,0.27247,0.84417,0.0,7.6
104,107,03,25,0.119555,0.364956478812046,0.8,0.2,0.00152,0.0,0.6,0.0,0.0,0.466618,0.566311,0.0,8.0
105,108,03,26,0.114768,0.4910442279440192,1.0,0.8,0.006221,0.0,0.2,0.0,0.0,0.652549,0.272618,0.0,7.25
106,109,03,27,0.140859,0.4608463767475598,0.75,0.25,0.0,0.0,0.4,0.4,0.0,0.231656,0.409125,0.0,7.5
107,110,03,28,0.073876,0.5756533673548287,1.0,0.0,0.029397,0.0,0.6,0.0,0.0,0.688324,0.192863,0.0,7.8
108,111,03,29,0.20823,0.1327278317187851,0.8,0.6,0.0,0.0,0.4,0.2,0.0,0.046261,0.801147,0.0,7.5
125,131,05,0,0.050198,0.2406486640595419,1.0,0.0,0.0,0.0,0.1538461538461538,0.3333333333333333,0.0,0.123929,0.747738,0.0,3.75
126,132,05,1,0.018561,0.1433407250526951,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.355403,0.608228,0.0,4.4
127,133,05,2,0.085243,0.3167955573181794,-1.0,-1.4,0.0,0.0,0.0769230769230769,1.0,0.0,0.187719,0.721588,0.0,3.75
128,134,05,3,0.006536,0.3306940159330983,-1.0,-2.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.133014,0.876582,0.0,5.333333
129,135,05,4,0.040967,0.7557686512661193,0.333333,-1.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.282255,0.622852,0.0,5.5
130,136,05,5,0.039237,0.6763983415302723,0.25,-0.5,0.0,0.0,0.0,0.1111111111111111,0.0,0.083952,0.885941,0.0,5.8
131,137,05,6,0.077176,0.8938876434112684,0.2,-0.6,0.0,0.0,0.0769230769230769,0.1111111111111111,0.0,0.100963,0.776236,0.0,6.2
132,138,05,7,0.045325,0.3814324485966335,0.6,0.0,0.0,0.0,0.0769230769230769,0.0,0.071783,0.85917,0.783907,0.0,6.4
133,139,05,8,0.104423,0.1989363845039624,1.0,-0.4,0.0,0.0,0.2307692307692307,0.1111111111111111,0.0,0.137727,0.632213,0.0,6.2
134,140,05,9,0.07492,0.3279433544170768,0.8,-0.8,0.0,0.0,0.3076923076923077,0.0,0.0,0.087226,0.78301,0.0,6.8
135,141,05,10,0.055341,0.101442819424831,1.0,-0.4,0.0,0.0,0.1538461538461538,0.0,0.0,0.993329,0.455121,0.0,7.0
136,142,05,11,0.078126,0.3684168046654595,1.0,0.0,0.0,0.0,0.0,0.0,0.076796,0.197973,0.602958,0.0,7.0
137,143,05,12,0.073126,0.2668556575189205,1.0,-0.2,0.0,0.0,0.0,0.0,0.091835,0.193754,0.519722,0.0,7.2
138,144,05,13,0.052751,0.3644627091240264,0.8,-1.0,0.0,0.0,0.0,0.0,0.140396,0.054853,0.659098,0.0,7.0
139,145,05,14,0.041457,0.7253774145247759,1.0,-0.8,0.0,0.0,0.2307692307692307,0.0,0.025994,0.029839,0.714155,0.0,7.5
